"name", "license","GPL_dependecies","issue"
"apache-airflow-providers-mysql","Apache license" ,["mysql-connector-python","mysqlclient"] , "https://github.com/apache/airflow/issues/9898"
"jiwer" ,"Apache license" ,["levenshtein"], "https://github.com/jitsi/jiwer/issues/69"
"optbinning","Apache license" ,["ecos"] , ""
"ropwr" ,"Apache license" ,["ecos"] , ""
"rpaframework","Apache license" ,["pyqt5","pyqtwebengine"], ""
"rpaframework-dialogs","Apache license" ,["pyqt5","pyqtwebengine"], ""
"causalml","Apache license" ,["pygam"], ""
"cmreshandler","Apache license" ,["enum"] , ""
"dvc" ,"Apache license 2.0" ,["grandalf"] , ""
"dvc-http","Apache license 2.0" ,["grandalf"] , ""
"tidal-dl","Apache license 2.0" ,["mutagen"], ""
"cvxpy" ,"Apache license 2.0" ,["ecos"] , ""
"python-dev-tools","BSD license",["pylint","flake8-isort","flake8-builtins","flake8-django"], ""
"cartoframes" ,"BSD license",["unidecode"], ""
"django-filer","BSD license",["unidecode"], ""
"weasyprint","BSD license",["pyphen"] , ""
"cibuildwheel","BSD license",["bashlex"], ""
"oletools","BSD license",["pcodedmp"] , ""
"workflow","BSD license",["autosemver"] , ""
"rtfde" ,"GNU lesser general public license v3 (lgplv3)",["pcodedmp"] , ""
"sphinx-autoapi","MIT license",["unidecode"], ""
"uszipcode" ,"MIT license",["fuzzywuzzy"] , ""
"molecule","MIT license",["ansible-compat"] , ""
"molecule-docker" ,"MIT license",["ansible-compat"] , ""
"workalendar" ,"MIT license",["lunardate"], ""
"wemake-python-styleguide","MIT license",["flake8-isort"] , ""
"pylint-quotes" ,"MIT license",["pylint"] , ""
"pylint-gitlab" ,"MIT license",["pylint"] , ""
"flake8-pylint" ,"MIT license",["pylint"] , ""
"pytest-pylint" ,"MIT license",["pylint"] , ""
"spotdl","MIT license",["unidecode","mutagen"], ""
"pandas-dedupe" ,"MIT license",["unidecode"], ""
"pyphonetics" ,"MIT license",["unidecode"], ""
"fortnitesave","MIT license",["aioconsole"] , ""
"office365" ,"MIT license",["fuzzywuzzy","pyqt5","gender-guesser","cursor"] , ""
"pymiscutils" ,"MIT license",["fuzzywuzzy","gender-guesser","cursor"] , ""
"pysubtypes","MIT license",["fuzzywuzzy"] , ""
"pathmagic" ,"MIT license",["fuzzywuzzy"] , ""
"pyiotools" ,"MIT license",["fuzzywuzzy","pyqt5","gender-guesser","cursor"] , ""
"mysql" ,"MIT license",["mysqlclient"], ""
"os-sys","MIT license",["mysql-connector","pyinstaller"], ""
"pythongui" ,"MIT license",["mysql-connector","pyinstaller"], ""
"textstat","MIT license",["pyphen"] , ""
"auto-py-to-exe","MIT license",["pyinstaller"], ""
"pyxlsx","MIT license",["pycel"], ""
"pylint-pytest" ,"MIT license",["pylint"] , "https://github.com/carsongee/pytest-pylint/issues/178"
"aigpy" ,"MIT license",["mutagen"], ""
"textract","MIT license",["extract-msg","pcodedmp"] , ""
"yt-dlp","Public Domain",["mutagen"], ""
"amundsen-databuilder","UNKNOWN",["unidecode"], ""
"glean-parser","UNKNOWN",["yamllint"] , ""
"imdbpy","UNKNOWN",["cinemagoer"] , ""
"email-master","UNKNOWN",["extract-msg","pcodedmp"] , ""
"robocorp-dialog" ,"other/proprietary license",["pyqt5","pyqtwebengine"], ""
