,name,license,GPL_dependencies
0,frutils,"""the parity public license 6.0.0""",['cursor']
1,frkl,"""the parity public license 6.0.0""",['cursor']
2,ting,"""the parity public license 6.0.0""",['cursor']
3,freckles,"""the parity public license 6.0.0""",['cursor']
4,freckles_adapter_nsbl,"""the parity public license 6.0.0""",['cursor']
5,shellting,"""the parity public license 6.0.0""",['cursor']
6,freckles_cli,"""the parity public license 6.0.0""",['cursor']
7,tempting,"""the parity public license 6.0.0""",['cursor']
8,frkl_pkg,"""the parity public license 6.0.0""",['cursor']
9,nsbl,"""the parity public license 6.0.0""",['cursor']
10,cell2sentence,'by-nc-sa',['igraph']
11,senlib,(mit or apache-2.0),['smbus-cffi']
12,snek5000-tgv,...,"['fluidsim-core', 'pymech']"
13,mix-voice,./license,['pyttsx3']
14,python-qosf,Apache license,['python-fileinspector']
15,opensesame-extension-osf,Apache license,['python-fileinspector']
16,cloudmesh-common,Apache license,['python-hostlist']
17,cm-burn,Apache license,['python-hostlist']
18,cloudmesh-configuration,Apache license,['python-hostlist']
19,cyberaide-bookmanager,Apache license,['python-hostlist']
20,cloudmesh-installer,Apache license,['python-hostlist']
21,hamux,Apache license,['python-igraph']
22,cso-classifier,Apache license,['python-igraph']
23,sand,Apache license,['python-igraph']
24,famegui,Apache license,['python-igraph']
25,git2jss,Apache license,['python-jss']
26,maasta,Apache license,['python-libmaas']
27,Mopidy-SevenSegmentDisplay,Apache license,['python-lirc']
28,test-acme-abnb,Apache license,['python-nmap']
29,ottr-airbnb,Apache license,['python-nmap']
30,ghome,Apache license,['python-nmap']
31,xwacommap,Apache license,['python-xrectsel']
32,DecryptLoginExamples,Apache license,['pyttsx3']
33,pymemapi,Apache license,['pyttsx3']
34,nautobot,Apache license,['pyuwsgi']
35,nautobot-golden-config,Apache license,['pyuwsgi']
36,nautobot-chatops-meraki,Apache license,['pyuwsgi']
37,nautobot-chatops-arista-cloudvision,Apache license,['pyuwsgi']
38,nautobot-chatops-ipfabric,Apache license,['pyuwsgi']
39,nautobot-plugin-chatops-aci,Apache license,['pyuwsgi']
40,nautobot-plugin-chatops-panorama,Apache license,['pyuwsgi']
41,nautobot-chatops-grafana,Apache license,['pyuwsgi']
42,nautobot-netbox-importer,Apache license,['pyuwsgi']
43,nautobot-device-lifecycle-mgmt,Apache license,['pyuwsgi']
