,name, license,GPL_dependecies
0,pyschism,"""Apache 2.0""",['searvey']
1,frutils,"""The Parity Public License 6.0.0""",['cursor']
2,frkl,"""The Parity Public License 6.0.0""",['cursor']
3,ting,"""The Parity Public License 6.0.0""",['cursor']
4,freckles,"""The Parity Public License 6.0.0""",['cursor']
5,freckles_adapter_nsbl,"""The Parity Public License 6.0.0""",['cursor']
6,shellting,"""The Parity Public License 6.0.0""",['cursor']
7,freckles_cli,"""The Parity Public License 6.0.0""",['cursor']
8,tempting,"""The Parity Public License 6.0.0""",['cursor']
9,frkl_pkg,"""The Parity Public License 6.0.0""",['cursor']
10,nsbl,"""The Parity Public License 6.0.0""",['cursor']
11,cell2sentence,'BY-NC-SA',['igraph']
12,senlib,(MIT OR Apache-2.0),['smbus-cffi']
13,snek5000-tgv,...,"['fluidsim-core', 'pymech']"
14,mix-voice,./license,['pyttsx3']
15,gouvlu,AGPL,"['awesome-slugify', 'html2text', 'udata']"
16,udata-ckan,AGPL,"['awesome-slugify', 'html2text', 'udata']"
17,udata-ods,AGPL,"['awesome-slugify', 'html2text', 'udata']"
18,udata-tabular-preview,AGPL,"['awesome-slugify', 'html2text', 'udata']"
19,udata-metrics,AGPL,"['awesome-slugify', 'html2text', 'udata']"
20,udata-geoplatform,AGPL,"['awesome-slugify', 'html2text', 'udata']"
21,ckanext-drupal-idp,AGPL,['ckanext-toolbelt']
22,edx-enterprise-data,AGPL 3.0,['edx-rbac']
23,staff-graded-xblock,AGPL v3,"['edx-bulk-grades', 'web-fragments']"
24,django-vegetarian-cookbook,AGPL v3,['mysqlclient']
25,omero-iviewer,AGPL-3.0,"['omero-marshal', 'omero-py', 'omero-web', 'zeroc-ice']"
26,omero-weberror,AGPL-3.0,"['omero-marshal', 'omero-py', 'omero-web', 'zeroc-ice']"
27,omero-signup,AGPL-3.0,"['omero-marshal', 'omero-py', 'omero-web', 'zeroc-ice']"
28,omero-fpbioimage,AGPL-3.0,"['omero-marshal', 'omero-py', 'omero-web', 'zeroc-ice']"
29,omero-figure,AGPL-3.0,"['omero-marshal', 'omero-py', 'omero-web', 'zeroc-ice']"
30,omero-virtual-microscope,AGPL-3.0,"['omero-marshal', 'omero-py', 'omero-web', 'zeroc-ice']"
31,omero-gallery,AGPL-3.0,"['omero-marshal', 'omero-py', 'omero-web', 'zeroc-ice']"
32,OMERO-3Dscript,AGPL-3.0,"['omero-marshal', 'omero-py', 'omero-web', 'zeroc-ice']"
33,llab-omero-iviewer,AGPL-3.0,"['omero-marshal', 'omero-py', 'omero-web', 'zeroc-ice']"
